vendor,amount,year
BOSTON MEDICAL CENTER HEALTH P,3593898823.38,2023
TUFTS HEALTH PUBLIC PLANS INC,2248443883.39,2023
MEDICAID,1367092966.17,2023
FALLON COMMUNITY HEALTH PLAN,1276806097.45,2023
COMMONWEALTH CARE ALLIANCE,1208629945.3,2023
MASSACHUSETTS BEH HLTH PRT,973292443.31,2023
TEMPUS UNLIMITED INC,969909767.9,2023
"ALLWAYS HEALTH PARTNERS, INC.",659290819.89,2023
UNITED HEALTHCARE INS CO,498775112.9,2023
BOSTON MEDICAL CENTER CORP,446503478.18,2023
HEALTH NEW ENGLAND INC,443134037.99,2023
UMASS MEMORIAL MEDICAL CENTER INC,381548708.51,2023
SENIOR WHOLE HEALTH,335539215.05,2023
CVS PHARMACY INC.,320550766.7,2023
TUFTS ASSOCIATED HEALTH MAINT ORG INC,273545222.25,2023
GENERAL HOSP CORP,260805002.49,2023
CAMBRIDGE PUBLIC HEALTH,228152389.23,2023
MONTACHUSETT REGIONAL,216478468.4,2023
EHS - SUMMARY PAYROLL,171769789.52,2023
BAYSTATE MEDICAL CENTER,170607324.42,2023
BRIGHAM AND WOMENS HOSPITAL INC,167424854.11,2023
CHILDRENS HOSPITALCORPORATION,165816010.15,2023
"WALGREEN'S  EASTERN CO,INC",147200613.61,2023
BOSTON MEDICAL CENTER,147002292.5,2023
"COMMUNITY CARE COOPERATIVE, INC.",130861599.08,2023
SOUTHCOAST HOSPITALS GROUP INC,128072420.6,2023
NORTH SHORE MEDICAL CENTER INC,100325265.16,2023
TUFTS MEDICAL CENTER INC,99166660.96,2023
LAWRENCE GENERAL HOSPITAL INC,98251831.12,2023
UNIVERSITY OF MASS,82443439.68,2023
HEBREW REHABILITATION CENTER,76811837.07,2023
BROCKTON HOSPITAL      INC,76484391.68,2023
MASS GENERAL BRIGHAM HEALTH PLAN INC,72922900.93,2023
"CUSTOM HEALTHCARE SOLUTIONS MA, LLC",66920280.85,2023
CAREMARK INC,64278866.36,2023
"STEWARD MEDICAID CARE NETWORK, INC.",63538355.16,2023
BETH ISRAEL DEACONESS MEDICAL CENTER,62654107.25,2023
GREATER ATTLEBORO TAUNTON REGIONAL,58934187.39,2023
PARTNERS HEALTHCARE SP INC,57218026.05,2023
OPTUMINSIGHT INC,55113024.37,2023
THE LOWELL GENERAL HOSPINC,54982299.9,2023
CAPE COD HOSPITAL,54531488.62,2023
DANA-FARBER CANCER INSTITUTE INC,52996344.35,2023
THE MERCY HOSPITAL INC,51826586.45,2023
VHS ACQUISITION SUBSIDIARY NUMBER 7 INC,50305426.6,2023
HOLYOKE MEDICAL CENTER INC,50112419.52,2023
STEWARD GOOD SAMARITAN MED CTR INC,47198682.26,2023
SOUTH SHORE HOSPITAL,47010401.0,2023
EAST BOSTON NEIGHBORHOOD HEALTH CENTER,46186665.53,2023
STEWARD ST ELIZ MED CTR OF BOSTON INC,44957496.55,2023
"ELEMENT CARE, INC.",44577250.44,2023
HENRY HEYWOOD MEM HOSP,44240268.75,2023
