vendor,amount,year
BOSTON MEDICAL CENTER HEALTH P,3972835246.74,2024
TUFTS HEALTH PUBLIC PLANS INC,1449323065.16,2024
MEDICAID,1342005401.67,2024
COMMONWEALTH CARE ALLIANCE,1223409200.44,2024
MASS GENERAL BRIGHAM HEALTH PLAN INC,1209557164.21,2024
FALLON COMMUNITY HEALTH PLAN,1072265487.19,2024
TEMPUS UNLIMITED INC,958859765.71,2024
MASSACHUSETTS BEH HLTH PRT,776305803.72,2024
UNITED HEALTHCARE INS CO,528763522.46,2024
HEALTH NEW ENGLAND INC,426656474.67,2024
BOSTON MEDICAL CENTER CORP,406476986.24,2024
SENIOR WHOLE HEALTH,339261380.33,2024
TUFTS ASSOCIATED HEALTH MAINT ORG INC,336413894.19,2024
UMASS MEMORIAL MEDICAL CENTER INC,299754929.54,2024
"COMMUNITY CARE COOPERATIVE, INC.",250825105.17,2024
MONTACHUSETT REGIONAL,235683274.88,2024
EHS - SUMMARY PAYROLL,208957116.09,2024
CVS PHARMACY INC.,194401604.16,2024
CHILDRENS HOSPITALCORPORATION,163265003.04,2024
CAMBRIDGE PUBLIC HEALTH,157654801.16,2024
GENERAL HOSP CORP,151419738.55,2024
BAYSTATE MEDICAL CENTER,135286620.07,2024
SOUTHCOAST HOSPITALS GROUP INC,134473280.49,2024
BOSTON MEDICAL CENTER,124081811.74,2024
LAWRENCE GENERAL HOSPITAL INC,121311230.45,2024
TUFTS MEDICAL CENTER INC,107306551.61,2024
BRIGHAM AND WOMENS HOSPITAL INC,106140943.68,2024
UNIVERSITY OF MASS,104657000.82,2024
"WALGREEN'S  EASTERN CO,INC",92013798.26,2024
"STEWARD MEDICAID CARE NETWORK, INC.",88815838.68,2024
UMASS MEMORIAL MEDICAL GROUP,84349943.67,2024
HEBREW REHABILITATION CENTER,77538757.55,2024
NORTH SHORE MEDICAL CENTER INC,71786417.26,2024
OPTUMINSIGHT INC,68760459.61,2024
GREATER ATTLEBORO TAUNTON REGIONAL,61943463.45,2024
DELOITTE CONSULTING LLP,58830165.69,2024
MASSACHUSETTS LEAGUE OF,57074968.36,2024
"AUTOMATED HEALTH SYSTEMS, INC.",55268523.33,2024
CAREMARK INC,53068513.88,2024
BETH ISRAEL DEACONESS MEDICAL CENTER,49227104.44,2024
THE LOWELL GENERAL HOSPINC,49017648.86,2024
STEWARD GOOD SAMARITAN MED CTR INC,48984087.34,2024
"ELEMENT CARE, INC.",46581958.7,2024
BROCKTON HOSPITAL      INC,46397621.86,2024
HOLYOKE MEDICAL CENTER INC,45078639.63,2024
"CUSTOM HEALTHCARE SOLUTIONS MA, LLC",45075343.68,2024
THE MERCY HOSPITAL INC,43275953.8,2024
CAPE COD HOSPITAL,42420628.82,2024
DANA-FARBER CANCER INSTITUTE INC,42341286.54,2024
"STEWARD HOLY FAM. HOSPITAL, INC.",39861406.62,2024
CAREGIVER HOMES OF MA INC,39165971.06,2024
EAST BOSTON NEIGHBORHOOD HEALTH CENTER,38696711.68,2024
STEWARD ST ELIZ MED CTR OF BOSTON INC,37423781.91,2024
HARBOR HEALTH SERVICES INC,36133897.56,2024
CENTRUS PREMIER HOME CARE,34651459.74,2024
VHS ACQUISITION SUBSIDIARY NUMBER 9 INC,34542237.64,2024
SOUTH SHORE HOSPITAL,34510397.69,2024
FRANCISCAN HOSPITAL FOR CHILDREN,34183445.58,2024
VHS ACQUISITION SUBSIDIARY NUMBER 7 INC,32679021.68,2024
STEWARD ST  ANNES HOSP CORP,32006325.76,2024
CAMBRIDGE HEALTH ALLIANCE PHYS ORG INC,31153195.29,2024
NIZHONI HEALTH SYSTEMS LLC,31142795.88,2024
MAXIMUS US SERVICES INC,31133858.67,2024
GAINWELL TECHNOLOGIES LLC,31095053.49,2024
HENRY HEYWOOD MEM HOSP,30499239.46,2024
GREATER LAWRENCE FAMILY HEALTH CENTER,28675376.93,2024
"OPTUM GOVERNMENT SOLUTIONS, INC",27644482.01,2024
BROCKTON NEIGHBORHOOD HLTH CTR,27191578.92,2024
FAIRVIEW EXTND CA SVCS INC,26861489.8,2024
SERENITY CARE,26655022.51,2024
NORTHEAST HOSPITAL CORP,26587482.59,2024
UMASS MEMORIAL HEALTHALLIANCE-CLINTON,26487334.44,2024
BETH ISRAEL HOSPITAL ASSOC,25752121.03,2024
AMI EXPEDITIONARY HEALTHCARE (USA) LLC,25197397.2,2024
INFICARE HEALTH INC,25064073.04,2024
BERKSHIRE MEDICAL CTR  INC,24885060.47,2024
DPH WESTERN MASS HOSPITAL,24866814.07,2024
LAHEY CLINIC HOSPITAL INC,23415929.47,2024
SEVEN HILLS EXT CARE AT GROTON,22111547.51,2024
ADVOCATES INC,22087964.82,2024
STEWARD CARNEY HOSPITAL INC,21989166.22,2024
"NORTHEAST ARC, INC.",21728480.98,2024
STANDARD MODERN CO INC,21026988.12,2024
CONDUENT STATE HEALTHCARE LLC,20970323.11,2024
PARTNERS HEALTHCARE SP INC,20739501.55,2024
STEWARD MEDICAL GROUP INC,20364892.29,2024
LYNN COMMUNITY HEALTH INC,20168881.88,2024
DENTAL DREAMS LLC,19188391.08,2024
MERCER HEALTH & BENEFITS LLC,19086812.58,2024
PROFESSIONAL STAFFING GROUP,18271110.03,2024
MASS GENERAL PHYSICIAN ORG,17988651.88,2024
NEW ENGLAND FAMILY DENTISTRY PC,17982247.02,2024
PROCARE PHARMACY LLC,17630218.75,2024
MILFORD REGIONAL MEDICAL CENTER INC,17324619.21,2024
"UPHAMS CORNER HEALTH COMMITTEE, INC",17284926.95,2024
BOSTON HEALTH CARE FOR THE HOMELESS PROG,17079792.71,2024
ADULT DAY HEALTH INC,17069682.31,2024
SPRINGFIELD FAMILY DENTAL PC,16717693.11,2024
