vendor,amount,year
BOSTON MEDICAL CENTER HEALTH P,4626747153.32,2025
MEDICAID,1596344278.71,2025
TUFTS HEALTH PUBLIC PLANS INC,1555727717.66,2025
MASS GENERAL BRIGHAM HEALTH PLAN INC,1437026029.92,2025
COMMONWEALTH CARE ALLIANCE,1334015282.61,2025
FALLON COMMUNITY HEALTH PLAN,1239087656.43,2025
TEMPUS UNLIMITED INC,1032150908.23,2025
BOSTON MEDICAL CENTER CORP,727353768.26,2025
UNITED HEALTHCARE INS CO,617693922.83,2025
MASSACHUSETTS BEH HLTH PRT,580005655.67,2025
HEALTH NEW ENGLAND INC,533396659.39,2025
TUFTS ASSOCIATED HEALTH MAINT ORG INC,459280051.3,2025
SENIOR WHOLE HEALTH,388774994.53,2025
"COMMUNITY CARE COOPERATIVE, INC.",279747733.01,2025
MONTACHUSETT REGIONAL,258322024.58,2025
UMASS MEMORIAL MEDICAL CENTER INC,248742597.26,2025
EHS - SUMMARY PAYROLL,221669159.86,2025
CVS PHARMACY INC.,201478932.25,2025
CHILDRENS HOSPITALCORPORATION,193391617.79,2025
CAMBRIDGE PUBLIC HEALTH,167052893.4,2025
GENERAL HOSP CORP,153313024.83,2025
MASSACHUSETTS LEAGUE OF,143479031.87,2025
LG NEWCORP INC,141408097.33,2025
BAYSTATE MEDICAL CENTER,135956838.39,2025
BOSTON MEDICAL CENTER,132040678.53,2025
SOUTHCOAST HOSPITALS GROUP INC,128624934.56,2025
TUFTS MEDICAL CENTER INC,120092578.94,2025
UNIVERSITY OF MASS,99883925.84,2025
BRIGHAM AND WOMENS HOSPITAL INC,95308406.31,2025
"WALGREEN'S  EASTERN CO,INC",91654105.39,2025
HEBREW REHABILITATION CENTER,88385872.86,2025
BETH ISRAEL DEACONESS MEDICAL CENTER,87600160.08,2025
UMASS MEMORIAL MEDICAL GROUP,86400208.3,2025
LAWRENCE GENERAL HOSPITAL INC,78366693.05,2025
NORTH SHORE MEDICAL CENTER INC,73205904.91,2025
GREATER ATTLEBORO TAUNTON REGIONAL,70679047.25,2025
RHG MEDICAID NETWORK LLC,65680677.66,2025
"STEWARD CARNEY HOSPITAL, INC.",60365132.41,2025
BROCKTON HOSPITAL      INC,55750852.28,2025
OPTUMINSIGHT INC,54464698.46,2025
THE LOWELL GENERAL HOSPINC,54029524.42,2025
CAREMARK INC,53343807.17,2025
DANA-FARBER CANCER INSTITUTE INC,53002055.9,2025
CENTRUS PREMIER HOME CARE,51741449.65,2025
"ELEMENT CARE, INC.",50810580.46,2025
LIFESPAN OF MASSACHUSETTS TAUNTON INC,45196042.49,2025
THE MERCY HOSPITAL INC,44308197.55,2025
"AUTOMATED HEALTH SYSTEMS, INC.",44087040.39,2025
CAREGIVER HOMES OF MA INC,43510986.26,2025
FRANCISCAN HOSPITAL FOR CHILDREN,41532397.34,2025
NEIGHBORHEALTH CORPORATION,39823656.73,2025
HOLYOKE MEDICAL CENTER INC,36870871.87,2025
NIZHONI HEALTH SYSTEMS LLC,35784688.14,2025
CAMBRIDGE HEALTH ALLIANCE PHYS ORG INC,34915036.56,2025
DELOITTE CONSULTING LLP,34237110.99,2025
HARBOR HEALTH SERVICES INC,34072418.07,2025
CAPE COD HOSPITAL,33352524.32,2025
GAINWELL TECHNOLOGIES LLC,31926294.32,2025
SOUTH SHORE HOSPITAL,31787569.43,2025
VHS ACQUISITION SUBSIDIARY NUMBER 9 INC,31452720.88,2025
BREWSTER AMBULANCE SERVICE INC,30736433.63,2025
SERENITY CARE,30447616.64,2025
HENRY HEYWOOD MEM HOSP,30173462.94,2025
PUBLIC CONSULTING GROUP LLC,29725130.45,2025
VHS ACQUISITION SUBSIDIARY NUMBER 7 INC,29601504.7,2025
ADVOCATES INC,29368985.44,2025
"OPTUM GOVERNMENT SOLUTIONS, INC",29180845.48,2025
DPH WESTERN MASS HOSPITAL,28893740.97,2025
PARTNERS HEALTHCARE SP INC,28657453.22,2025
UMASS MEMORIAL HEALTHALLIANCE-CLINTON,27826759.59,2025
BERKSHIRE MEDICAL CTR  INC,27192086.5,2025
"NORTHEAST ARC, INC.",27119494.43,2025
"STEWARD MEDICAID CARE NETWORK, INC.",26974675.23,2025
NORTHEAST HOSPITAL CORP,25853571.81,2025
LAHEY CLINIC HOSPITAL INC,25522233.2,2025
GREATER LAWRENCE FAMILY HEALTH CENTER,25131587.54,2025
FAIRVIEW EXTND CA SVCS INC,24101433.22,2025
SEVEN HILLS EXT CARE AT GROTON,23418969.4,2025
DENTAL DREAMS LLC,23281219.05,2025
STANDARD MODERN CO INC,23114903.48,2025
LYNN COMMUNITY HEALTH INC,22084921.89,2025
CONDUENT STATE HEALTHCARE LLC,22000167.49,2025
SILVER MASS JV LLC,21900000.0,2025
BROCKTON NEIGHBORHOOD HLTH CTR,21659470.99,2025
BOSTON HEALTH CARE FOR THE HOMELESS PROG,20422153.11,2025
"VITRA HEALTH, INC",19403159.39,2025
"UPHAMS CORNER HEALTH COMMITTEE, INC",19106514.85,2025
NEW ENGLAND FAMILY DENTISTRY PC,18772173.3,2025
GENOA HEALTHCARE LLC,18393778.74,2025
NONOTUCK RESOURCE ASSOCIATES INC,18297082.12,2025
MAXIMUS US SERVICES INC,18222843.4,2025
ELIOT COMMUNITY HUMAN SRVCS,18086989.16,2025
PEDIATRIC SVS OF AMERICA INC,17885967.28,2025
MCINNIS CONSULTING SERVICES,17666950.77,2025
PROCARE PHARMACY LLC,17641651.43,2025
WEC HEALTH LLC,17627504.05,2025
